Remedio,Data de Validade,Quantia,Preco por Unidade,Preco por Subunidade
HIDROCORTISONA 500MG PO IM-EV (S) - UNIAOQUIMICA - 30-10-2024,30-10-2024,2,9.95,9.95 
HIDROCORTISONA 500MG PO IM-EV (S) - UNIAOQUIMICA - 30-08-2025,30-08-2025,2,9.95,9.95 
HIPOCAINA 2PCC+0,005MG-ML(LIDOC+EPINEF)CX 25 FR - 30-01-2025,30-01-2025,5,16.50,16.50 
INS HUM HUMULIN R 10ML - 30-03-2025,30-03-2025,1,60.88,60.88 
ISORDIL SL 5MG C-30 COMP - 30-06-2025,30-06-2025,30,10.20,10.20 
KETAMIN NP 50MG-ML INJ 25AP 2ML *HR - 30-09-2024,30-09-2024,22,16.11,16.11 
LIDOCAINA CLOR 2% S-V 25FA 20ML HG - 30-08-2024,30-08-2024,16,5.87,5.87 
METILPREDNISOLONA 125MG 2ML - 30-01-2025,30-01-2025,10,13.50,13.50 
METOPROLOL TART(BETACRIS)5MG 10AP 5ML - 30-03-2024,30-03-2024,10,25.87,25.87 
MIDAZOLAM(DORMIRE) 1MG-ML INJ 10A 5ML - 28-02-2025,28-02-2025,28,5.04,5.04 
MIDAZOLAM(DORMIUM)5MG-5ML INJ 50A *HS - 30-08-2025,30-08-2025,4,5.04,5.04 
MORFINA(DIMORF) 10MG INJ 50AP 1ML *HR - 30-09-2024,30-09-2024,31,4.62,4.62 
NALOXONA CLOR 0,4MG-ML INJ 10AP 1ML *HG - 30-06-2025,30-06-2025,8,5.92,5.92 
NEOCAÍNA COM VASO 0,50% 20 ML - 30-09-2024,30-09-2024,13,15.74,15.74 
NEOSTIGMINA - NORMASTIG 0,5MG CX 50 AMP X - 30-08-2024,30-08-2024,45,3.99,3.99 
NEOSTIGMINA 0,5MG CX 25 AMP X 1ML - 30-04-2027,30-04-2027,5,38.60,38.60 
NOREPINEFRINA 8MG (2MG-ML) 4ML NORADREN - 30-09-2024,30-09-2024,18,9.00,9.00 
NOVABUPI 0,5% C-V 10FA 20ML EST ESTER - 30-11-2024,30-11-2024,7,23.71,23.71 
OMEPRAZOL 40MG INJ 25FA+DIL 10ML HG - 30-08-2025,30-08-2025,22,15.91,15.91 
ONDANSETRONA 2MG-ML SOL INJ 100AP 2ML - 28-02-2025,28-02-2025,5,5.27,5.27 
ONDANSETRONA 2MG-ML SOL INJ 50AP 2ML HG - 30-05-2025,30-05-2025,6,5.27,5.27 
PETIDINA CLOR 50MG-ML INJ 25AP 2ML *HG - 30-10-2024,30-10-2024,15,2.56,2.56 
PROMETAZINA  1 ML - 30-05-2025,30-05-2025,8,5.80,5.80 
PROPOFOL 10MG-ML 20 ML - 30-03-2025,30-03-2025,18,11.85,11.85 
PROPOFOL 10MG-ML 20 ML - 31-07-2025,31-07-2025,30,19.89,19.89 
REMIFENTANILA HCL 2 MG INJ 5FA *HG - 30-05-2025,30-05-2025,23,38.61,38.61 
SALBUTAMOL 100MCG SPRAY 200DOSES(AEROLIN - 30-03-2025,30-03-2025,1,57.75,57.75 
SEVOFLURANO LIQ INAL 250 ML *HG - 30-07-2025,30-07-2025,1,430.25,430.25 
SORO  GLICOSADO 5% 500ML - 30-12-2024,30-12-2024,6,10.29,10.29 
SORO FISIOL 0,9% SF 500ML - 30-05-2024,30-05-2024,85,9.47,9.47 
SORO FISIOL0,9% SF 1000ML - 30-01-2026,30-01-2026,25,17.85,17.85 
SORO FISIOL0,9% SF 100ML - 30-08-2025,30-08-2025,55,4.91,4.91 
SORO FISIOLOGICO 250 ML 0.9% BOLSA(O) - JP - 30-12-2025,30-12-2025,28,6.12,6.12 
SORO FISIOLOGICO CLORETO DE SODIO 0,9% 10ML C-200UN EQUIPLEX - 30-08-2025,30-08-2025,138,1.35,1.35 
SORO GLICOFISIOLÓGICO 500ML - 30-04-2024,30-04-2024,3,7.28,7.28 
SORO GLICOSADO 5% 250 ML-BOLSA PVC(O) - JP - 30-06-2025,30-06-2025,7,5.76,5.76 
SORO RINGER C-LACTATO 1000 ML - BOLSA(O) - JP - 30-07-2024,30-07-2024,9,11.10,11.10 
SORO RINGER C-LACTATO 500 ML - BOLSA(O) - JP - 30-12-2025,30-12-2025,19,8.23,8.23 
SUXAMETONIO(SUCCITRAT)100MG 10FA 10ML - 30-11-2024,30-11-2024,10,21.29,21.29 
TENOXICAM(GEN)40MG INJ 50FA CRISTALIA - 02-10-2025,02-10-2025,50,10.21,10.21 
TENOXICAM(TEFLAN)40MG INJ 50FA HS - 28-02-2025,28-02-2025,9,11.98,11.98 
TERBUTALINA 0,5MG-ML 1ML INJ (G) - 30-11-2024,30-11-2024,10,4.80,4.80 
TRAMADOL 100MG INJ 50AP 2ML *HG UNIAO - 30-03-2026,30-03-2026,37,3.48,3.48 
XYLESTESIN 2% C-V 10 EST FA 20ML CRISTALIA - 30-05-2025,30-05-2025,10,12.89,12.89
XYLESTESIN 2% C-V 10 EST FA 20ML CRISTALIA - 30-05-2025
